iter	Passed	Remaining
0	0	58
1	0	48
2	1	44
3	1	39
4	2	38
5	2	37
6	2	36
7	3	36
8	3	35
9	3	35
10	4	34
11	4	35
12	5	34
13	5	34
14	5	33
15	6	33
16	6	32
17	8	37
18	8	36
19	8	35
20	9	35
21	9	34
22	9	33
23	10	32
24	10	32
25	11	32
26	11	31
27	11	30
28	12	30
29	12	29
30	13	29
31	13	29
32	14	28
33	14	28
34	15	27
35	15	27
36	15	26
37	16	26
38	16	25
39	16	25
40	17	24
41	17	23
42	17	23
43	18	23
44	18	22
45	18	22
46	19	21
47	19	21
48	19	20
49	20	20
50	20	19
51	21	19
52	21	19
53	21	18
54	22	18
55	22	17
56	22	17
57	23	16
58	23	16
59	23	15
60	24	15
61	24	15
62	25	14
63	25	14
64	26	14
65	26	13
66	26	13
67	27	12
68	27	12
69	27	11
70	28	11
71	28	11
72	29	10
73	29	10
74	30	10
75	30	9
76	30	9
77	31	8
78	31	8
79	31	7
80	32	7
81	32	7
82	32	6
83	33	6
84	33	5
85	34	5
86	34	5
87	34	4
88	35	4
89	35	3
90	35	3
91	36	3
92	36	2
93	36	2
94	37	1
95	37	1
96	37	1
97	38	0
98	38	0
99	38	0
