iter	Passed	Remaining
0	49	49337
1	50	25014
2	50	16855
3	51	12828
4	52	10365
5	52	8733
6	53	7565
7	53	6685
8	54	6012
9	55	5468
10	56	5040
11	57	4722
12	58	4440
13	59	4220
14	60	3975
15	60	3750
16	61	3574
17	62	3411
18	63	3255
19	63	3113
20	63	2979
21	64	2858
22	64	2745
23	65	2644
24	65	2550
25	65	2464
26	66	2383
27	66	2308
28	66	2238
29	67	2173
30	67	2111
31	67	2054
32	68	2003
33	68	1953
34	69	1905
35	69	1860
36	70	1828
37	70	1789
38	71	1753
39	71	1715
40	71	1680
41	72	1647
42	72	1617
43	72	1586
44	73	1556
45	73	1531
46	77	1565
47	77	1545
48	78	1522
49	78	1497
50	79	1472
51	79	1450
52	81	1463
53	82	1448
54	83	1433
55	83	1413
56	84	1393
57	84	1376
58	85	1357
59	85	1339
60	85	1322
61	86	1305
62	86	1292
63	87	1276
64	87	1263
65	88	1248
66	88	1234
67	88	1219
68	89	1206
69	90	1201
70	90	1189
71	91	1180
72	92	1175
73	94	1180
74	95	1172
75	95	1166
76	96	1160
77	97	1149
78	98	1146
79	98	1134
80	99	1123
81	99	1112
82	99	1100
83	100	1090
84	100	1080
85	100	1070
86	101	1060
87	101	1051
88	101	1042
89	102	1033
90	102	1024
91	103	1024
92	104	1015
93	104	1011
94	105	1004
95	105	996
96	106	990
97	107	984
98	107	978
99	107	970
100	108	968
101	109	961
102	109	956
103	110	949
104	110	945
105	111	941
106	111	934
107	112	929
108	112	922
109	113	916
110	113	910
111	114	904
112	114	897
113	114	893
114	115	887
115	115	881
116	115	874
117	116	868
118	116	862
119	118	870
120	119	867
121	119	861
122	120	855
123	120	850
124	120	845
125	121	842
126	121	836
127	122	834
128	123	833
129	123	829
130	124	826
131	125	822
132	125	818
133	125	813
134	126	809
135	127	807
136	127	803
137	127	798
138	128	794
139	128	790
140	129	786
141	129	781
142	129	778
143	130	774
144	130	770
145	131	766
146	131	762
147	131	758
148	132	755
149	132	751
150	132	747
151	133	744
152	134	741
153	135	742
154	135	740
155	137	743
156	138	743
157	139	742
158	140	744
159	141	742
160	142	742
161	142	739
162	143	736
163	143	732
164	144	728
165	144	725
166	144	721
167	145	718
168	145	715
169	145	712
170	146	709
171	146	705
172	147	702
173	147	699
174	147	696
175	149	698
176	151	703
177	152	703
178	152	700
179	153	697
180	153	694
181	153	691
182	154	687
183	154	685
184	154	682
185	155	681
186	156	680
187	156	677
188	157	675
189	157	672
190	158	670
191	159	669
192	159	666
193	159	664
194	160	661
195	160	659
196	161	656
197	161	653
198	161	651
199	162	648
200	162	646
201	162	643
202	163	640
203	163	638
204	163	635
205	164	633
206	165	633
207	165	631
208	166	628
209	166	626
210	167	625
211	167	623
212	168	621
213	169	621
214	169	619
215	169	616
216	170	614
217	170	611
218	170	609
219	171	608
220	172	607
221	172	605
222	173	603
223	173	601
224	173	599
225	174	596
226	174	594
227	175	595
228	176	592
229	176	592
230	177	590
231	177	588
232	178	586
233	178	584
234	179	583
235	179	581
236	180	580
237	180	578
238	180	575
239	181	573
240	181	572
241	182	571
242	182	569
243	183	567
244	183	565
245	183	563
246	184	561
247	184	559
248	184	557
249	185	555
250	185	553
251	185	552
252	186	550
253	186	548
254	187	546
255	188	546
256	189	547
257	190	546
258	190	545
259	191	543
260	191	542
261	192	541
262	193	542
263	193	540
264	194	538
265	194	537
266	195	535
267	195	533
268	195	531
269	196	530
270	196	528
271	196	527
272	197	525
273	197	524
274	198	522
275	198	520
276	198	519
277	199	517
278	199	516
279	200	514
280	200	512
281	200	511
282	201	509
283	201	508
284	201	506
285	202	505
286	202	503
287	203	502
288	203	501
289	204	501
290	205	500
291	205	498
292	206	497
293	206	495
294	206	494
295	207	492
296	207	491
297	207	489
298	209	490
299	209	488
300	209	487
301	210	486
302	211	485
303	211	484
304	211	482
305	212	481
306	212	479
307	212	478
308	213	476
309	213	475
310	214	474
311	214	472
312	214	471
313	215	470
314	215	468
315	215	467
316	216	465
317	216	464
318	216	462
319	217	461
320	217	460
321	218	459
322	218	458
323	218	456
324	219	455
325	219	454
326	220	453
327	220	451
328	220	450
329	221	449
330	221	447
331	222	447
332	222	446
333	223	444
334	223	443
335	224	443
336	224	442
337	225	441
338	225	440
339	226	438
340	226	437
341	226	436
342	227	434
343	227	433
344	227	432
345	229	433
346	230	432
347	230	431
348	230	430
349	231	429
350	231	427
351	231	426
352	232	425
353	232	424
354	233	423
355	233	422
356	234	421
357	234	420
358	234	419
359	243	432
360	243	431
361	246	434
362	246	432
363	247	431
364	247	430
365	247	429
366	248	428
367	248	427
368	249	426
369	249	424
370	249	423
371	250	422
372	250	421
373	250	420
374	252	420
375	260	432
376	260	431
377	261	430
378	261	429
379	262	427
380	263	428
381	264	427
382	264	426
383	265	425
384	265	424
385	266	423
386	266	422
387	267	421
388	267	420
389	268	419
390	268	418
391	269	418
392	270	417
393	274	422
394	276	423
395	276	422
396	277	420
397	278	421
398	279	420
399	279	419
400	280	418
401	281	418
402	281	417
403	282	416
404	282	415
405	283	414
406	284	414
407	284	413
408	284	411
409	285	411
410	286	409
411	286	408
412	286	407
413	288	407
414	288	406
415	289	406
416	290	406
417	291	405
418	291	404
419	292	403
420	292	402
421	292	401
422	293	399
423	293	398
424	293	397
425	294	396
426	294	395
427	295	394
428	295	393
429	295	392
430	296	391
431	296	389
432	297	389
433	297	387
434	297	386
435	298	385
436	298	384
437	299	383
438	299	382
439	300	381
440	301	381
441	301	380
442	302	380
443	302	379
444	303	378
445	303	377
446	304	376
447	304	375
448	304	374
449	305	373
450	305	372
451	306	371
452	306	370
453	306	369
454	307	368
455	307	367
456	308	366
457	308	364
458	308	363
459	309	362
460	309	361
461	309	360
462	310	359
463	310	358
464	310	357
465	311	356
466	312	356
467	312	355
468	312	354
469	313	354
470	314	353
471	314	352
472	315	350
473	315	349
474	315	348
475	316	347
476	317	347
477	317	346
478	317	345
479	318	344
480	318	343
481	318	342
482	319	341
483	319	340
484	319	339
485	320	338
486	320	337
487	322	338
488	322	337
489	322	336
490	323	335
491	323	334
492	323	333
493	324	332
494	324	331
495	324	330
496	325	329
497	325	328
498	325	327
499	326	326
500	326	325
501	327	325
502	328	324
503	328	323
504	329	322
505	329	321
506	329	320
507	330	319
508	330	318
509	330	317
510	331	316
511	331	316
512	332	316
513	333	315
514	334	314
515	334	313
516	334	312
517	335	311
518	335	310
519	335	310
520	336	309
521	336	308
522	337	307
523	338	307
524	338	306
525	338	305
526	339	304
527	340	303
528	340	303
529	340	302
530	341	301
531	341	300
532	341	299
533	342	298
534	342	297
535	343	297
536	343	296
537	343	295
538	344	294
539	344	293
540	345	292
541	345	291
542	346	291
543	346	290
544	347	290
545	348	289
546	348	288
547	349	287
548	349	286
549	349	286
550	350	285
551	350	284
552	350	283
553	351	282
554	351	281
555	351	280
556	352	280
557	352	279
558	353	278
559	353	278
560	354	277
561	354	276
562	354	275
563	355	274
564	355	273
565	356	273
566	356	272
567	356	271
568	357	270
569	357	269
570	357	268
571	358	268
572	358	267
573	359	266
574	359	265
575	359	264
576	360	264
577	360	263
578	360	262
579	361	261
580	361	260
581	361	259
582	362	259
583	362	258
584	362	257
585	363	256
586	363	255
587	363	254
588	364	254
589	364	253
590	365	252
591	365	251
592	365	251
593	366	250
594	366	249
595	366	248
596	367	247
597	367	247
598	367	246
599	368	245
600	368	244
601	368	243
602	369	243
603	369	242
604	370	241
605	370	240
606	370	240
607	371	239
608	371	238
609	371	237
610	372	236
611	372	236
612	372	235
613	373	234
614	373	233
615	373	233
616	374	232
617	374	231
618	374	230
619	375	230
620	375	229
621	376	228
622	376	227
623	376	227
624	377	226
625	377	225
626	377	224
627	378	224
628	378	223
629	379	222
630	379	221
631	380	221
632	380	220
633	380	219
634	381	219
635	381	218
636	381	217
637	382	216
638	382	216
639	382	215
640	383	214
641	383	213
642	384	213
643	384	212
644	384	211
645	385	211
646	385	210
647	385	209
648	386	208
649	386	208
650	386	207
651	387	206
652	387	205
653	387	205
654	388	204
655	388	203
656	389	203
657	389	202
658	389	201
659	390	201
660	390	200
661	390	199
662	391	198
663	391	198
664	391	197
665	392	196
666	392	196
667	393	195
668	393	194
669	394	194
670	394	193
671	394	192
672	395	192
673	395	191
674	395	190
675	396	189
676	396	189
677	396	188
678	397	187
679	397	187
680	397	186
681	398	185
682	398	185
683	399	184
684	399	183
685	399	183
686	400	182
687	400	181
688	400	180
689	401	180
690	401	179
691	401	178
692	402	178
693	402	177
694	403	176
695	403	176
696	403	175
697	404	174
698	404	174
699	404	173
700	405	172
701	405	172
702	405	171
703	406	170
704	406	170
705	407	169
706	407	168
707	407	168
708	408	167
709	408	166
710	408	166
711	409	165
712	409	164
713	410	164
714	410	163
715	410	162
716	411	162
717	411	161
718	411	160
719	412	160
720	412	159
721	412	158
722	413	158
723	413	157
724	414	157
725	414	156
726	414	155
727	415	155
728	415	154
729	416	153
730	416	153
731	416	152
732	417	151
733	417	151
734	418	150
735	418	150
736	419	149
737	419	148
738	420	148
739	421	147
740	421	147
741	421	146
742	422	146
743	422	145
744	422	144
745	423	144
746	423	143
747	424	142
748	424	142
749	425	141
750	425	141
751	425	140
752	426	139
753	426	139
754	426	138
755	427	137
756	427	137
757	427	136
758	428	136
759	428	135
760	429	134
761	429	134
762	430	133
763	430	132
764	430	132
765	431	131
766	433	131
767	433	130
768	434	130
769	434	129
770	436	129
771	436	128
772	437	128
773	438	128
774	439	127
775	440	127
776	441	126
777	442	126
778	443	125
779	444	125
780	444	124
781	445	124
782	447	123
783	448	123
784	448	122
785	449	122
786	450	121
787	451	121
788	452	121
789	454	120
790	454	120
791	455	119
792	456	119
793	457	118
794	457	118
795	458	117
796	459	116
797	459	116
798	460	115
799	461	115
800	462	114
801	462	114
802	463	113
803	463	113
804	464	112
805	464	111
806	464	111
807	465	110
808	465	109
809	466	109
810	466	108
811	466	108
812	467	107
813	467	106
814	467	106
815	468	105
816	468	104
817	469	104
